Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Roshown McLeod,20,5.6,1.4,1.2,0.7,15.3,9.33,.580,.403,80,221,23,0
Elton Brand,1,9.8,1.1,1.3,2.2,17.7,10.13,.649,.623,80,275,20,1
Steve Francis,2,4.5,4.5,2.8,0.2,17.0,9.10,.620,.401,75,195,22,0
Baron Davis,3,3.6,5.1,2.5,0.4,15.9,8.84,.555,.503,75,209,20,1
Lamar Odom,4,9.4,3.8,0.8,1.5,17.6,5.58,.556,.432,82,220,20,0
Wally Szczerbiak,6,8.5,2.9,1.2,1.0,24.2,4.48,.630,.400,79,244,22,0
Richard Hamilton,7,4.8,2.7,1.2,0.3,21.5,8.80,.560,.366,78,185,21,0
Andre Miller,8,5.4,5.6,2.5,0.5,15.8,3.30,.555,.442,75,200,23,0
Shawn Marion,9,9.3,1.2,2.5,1.9,18.7,4.52,.577,.266,79,220,21,1
Jason Terry,10,3.3,5.5,2.8,0.2,21.9,8.31,.575,.356,74,176,22,0
Trajan Langdon,11,3.4,1.9,1.4,0.1,17.3,10.13,.641,.368,75,197,23,0
Corey Maggette,13,3.9,1.5,0.7,0.4,10.6,10.13,.619,.594,78,218,20,0
William Avery,14,3.5,5.0,1.5,0.0,14.9,10.13,.623,.310,74,197,20,0
Metta World Peace,16,6.3,4.2,2.1,1.2,14.5,9.09,.556,.316,78,244,20,1
Cal Bowdler,17,10.0,1.3,0.5,2.9,14.7,-1.68,.555,.500,82,245,22,0
James Posey,18,8.9,2.3,2.8,0.9,16.9,3.89,.615,.563,80,215,22,0
Quincy Lewis,19,5.9,1.4,1.9,0.6,23.1,9.93,.553,.299,79,215,22,0
Dion Glover,20,5.0,2.6,2.1,0.2,18.4,8.70,.514,.370,77,228,21,0
Kenyon Martin,1,9.7,1.4,1.4,3.5,18.9,8.50,.601,.530,81,234,23,0
Stromile Swift,2,8.2,0.9,1.5,2.8,16.2,5.78,.625,.602,81,225,21,0
Marcus Fizer,4,7.7,1.1,0.8,1.1,22.8,7.14,.625,.425,81,262,22,0
Mike Miller,5,6.6,2.5,1.2,0.4,14.1,8.51,.581,.462,80,218,20,0
DerMarr Johnson,6,3.8,1.4,1.0,0.9,12.6,8.50,.594,.324,81,201,20,0
Chris Mihm,7,10.5,0.7,0.3,2.7,17.7,9.61,.578,.589,84,265,21,0
Jamal Crawford,8,2.8,4.5,1.1,0.9,16.6,9.27,.507,.200,78,185,20,0
Joel Przybilla,9,8.4,2.4,0.8,3.9,14.2,9.62,.594,.558,85,255,21,0
Keyon Dooling,10,2.7,3.6,1.4,0.5,15.3,8.22,.523,.448,75,196,20,0
Jérôme Moïso,11,7.6,1.2,1.1,1.7,13.0,10.11,.527,.419,82,235,22,0
Etan Thomas,12,9.3,0.6,0.8,3.7,13.6,6.20,.626,.593,81,256,22,0
Courtney Alexander,13,4.7,3.5,1.4,0.1,24.8,3.58,.532,.243,77,205,23,0
Mateen Cleaves,14,1.8,6.9,1.4,0.2,12.1,9.91,.525,.332,74,205,23,0
Jason Collier,15,9.2,1.6,0.8,1.1,17.0,7.00,.560,.441,84,260,23,0
Desmond Mason,17,6.6,1.5,1.2,1.0,18.0,6.59,.610,.385,79,224,23,0
Quentin Richardson,18,9.8,2.2,1.1,0.3,17.0,7.83,.535,.254,78,223,20,0
Jamaal Magloire,19,9.1,0.5,0.5,1.7,13.2,12.71,.554,.686,83,259,22,0
